"Variant ID","Product Name","Product Type","Product Color","Product Size","Product Image","Product Weight (oz)","Height (In)","Length (In)","Width (In)",Categories,"Product Price",Notes
22214,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, RS Sport Grey)",Apparel,"RS Sport Grey",XL,https://files.cdn.printful.com/products/849/22214_1738764040.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22215,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Red)",Apparel,Red,XL,https://files.cdn.printful.com/products/849/22215_1738763978.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22216,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, Royal)",Apparel,Royal,XL,https://files.cdn.printful.com/products/849/22216_1738763999.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22217,"Women's Basic Softstyle T-Shirt | Gildan 64000L (XL, White)",Apparel,White,XL,https://files.cdn.printful.com/products/849/22217_1738764051.jpg,6.00,0.900,8.100,7.900,T-shirts,$9.25,
22218,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Azalea)",Apparel,Azalea,2XL,https://files.cdn.printful.com/products/849/22218_1738763692.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22219,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Black)",Apparel,Black,2XL,https://files.cdn.printful.com/products/849/22219_1738763733.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22220,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Charcoal)",Apparel,Charcoal,2XL,https://files.cdn.printful.com/products/849/22220_1738763754.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22221,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Heliconia)",Apparel,Heliconia,2XL,https://files.cdn.printful.com/products/849/22221_1738763774.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22222,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Irish Green)",Apparel,"Irish Green",2XL,https://files.cdn.printful.com/products/849/22222_1738763794.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22223,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Navy)",Apparel,Navy,2XL,https://files.cdn.printful.com/products/849/22223_1738763816.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22224,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Purple)",Apparel,Purple,2XL,https://files.cdn.printful.com/products/849/22224_1738763836.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22225,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, RS Sport Grey)",Apparel,"RS Sport Grey",2XL,https://files.cdn.printful.com/products/849/22225_1738763999.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22226,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Red)",Apparel,Red,2XL,https://files.cdn.printful.com/products/849/22226_1738763968.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22227,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, Royal)",Apparel,Royal,2XL,https://files.cdn.printful.com/products/849/22227_1738763979.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22228,"Women's Basic Softstyle T-Shirt | Gildan 64000L (2XL, White)",Apparel,White,2XL,https://files.cdn.printful.com/products/849/22228_1738764050.jpg,7.40,0.900,8.700,7.900,T-shirts,$11.25,
22229,"Classic Rope Cap | Richardson 258 (One size, Black/White)",Embroidery,Black/White,"One size",https://files.cdn.printful.com/products/846/22229_1740041881.jpg,2.95,4.500,6.700,7.300,Snapbacks,$16.49,
22230,"Classic Rope Cap | Richardson 258 (One size, Light Blue/White)",Embroidery,"Light Blue/White","One size",https://files.cdn.printful.com/products/846/22230_1740041883.jpg,2.95,4.500,6.700,7.300,Snapbacks,$16.49,
22231,"Classic Rope Cap | Richardson 258 (One size, White/Black)",Embroidery,White/Black,"One size",https://files.cdn.printful.com/products/846/22231_1740041891.jpg,2.95,4.500,6.700,7.300,Snapbacks,$16.49,
22232,"Under Armour® Backpack (One size, Black)",Embroidery,Black,"One size",https://files.cdn.printful.com/products/847/22232_1739947432.jpg,19.85,1.900,20.500,14.700,Backpacks,$61.15,
22233,"Under Armour® Backpack (One size, Castlerock)",Embroidery,Castlerock,"One size",https://files.cdn.printful.com/products/847/22233_1739947432.jpg,19.85,1.900,20.500,14.700,Backpacks,$61.15,
22234,"Under Armour® Backpack (One size, Midnight Navy)",Embroidery,"Midnight Navy","One size",https://files.cdn.printful.com/products/847/22234_1739947432.jpg,19.85,1.900,20.500,14.700,Backpacks,$61.15,
22257,"Unisex Heavy Blend Hoodie | Gildan 18500 (S, Heliconia)",Apparel,Heliconia,S,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,16.00,2.400,8.850,8.000,Hoodies,$22.19,
22258,"Unisex Heavy Blend Hoodie | Gildan 18500 (M, Heliconia)",Apparel,Heliconia,M,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,16.50,3.500,9.550,8.000,Hoodies,$22.19,
22259,"Unisex Heavy Blend Hoodie | Gildan 18500 (L, Heliconia)",Apparel,Heliconia,L,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,20.00,3.500,9.550,8.000,Hoodies,$22.19,
22260,"Unisex Heavy Blend Hoodie | Gildan 18500 (XL, Heliconia)",Apparel,Heliconia,XL,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,21.80,3.500,10.000,8.500,Hoodies,$22.19,
22261,"Unisex Heavy Blend Hoodie | Gildan 18500 (2XL, Heliconia)",Apparel,Heliconia,2XL,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,22.50,3.500,10.250,8.000,Hoodies,$24.19,
22262,"Unisex Heavy Blend Hoodie | Gildan 18500 (3XL, Heliconia)",Apparel,Heliconia,3XL,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,25.20,3.500,10.500,9.000,Hoodies,$26.19,
22263,"Unisex Heavy Blend Hoodie | Gildan 18500 (4XL, Heliconia)",Apparel,Heliconia,4XL,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,25.60,3.300,10.500,9.000,Hoodies,$28.19,
22264,"Unisex Heavy Blend Hoodie | Gildan 18500 (5XL, Heliconia)",Apparel,Heliconia,5XL,https://files.cdn.printful.com/products/146/22257_1750160842.jpg,26.30,3.400,10.000,9.000,Hoodies,$30.19,
22265,"Unisex Heavy Blend Hoodie | Gildan 18500 (S, Orange)",Apparel,Orange,S,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,16.00,2.400,8.850,8.000,Hoodies,$22.19,
22266,"Unisex Heavy Blend Hoodie | Gildan 18500 (M, Orange)",Apparel,Orange,M,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,16.50,3.500,9.550,8.000,Hoodies,$22.19,
22267,"Unisex Heavy Blend Hoodie | Gildan 18500 (L, Orange)",Apparel,Orange,L,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,20.00,3.500,9.550,8.000,Hoodies,$22.19,
22268,"Unisex Heavy Blend Hoodie | Gildan 18500 (XL, Orange)",Apparel,Orange,XL,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,21.80,3.500,10.000,8.500,Hoodies,$22.19,
22269,"Unisex Heavy Blend Hoodie | Gildan 18500 (2XL, Orange)",Apparel,Orange,2XL,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,22.50,3.500,10.250,8.000,Hoodies,$24.19,
22270,"Unisex Heavy Blend Hoodie | Gildan 18500 (3XL, Orange)",Apparel,Orange,3XL,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,25.20,3.500,10.500,9.000,Hoodies,$26.19,
22271,"Unisex Heavy Blend Hoodie | Gildan 18500 (4XL, Orange)",Apparel,Orange,4XL,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,25.60,3.300,10.500,9.000,Hoodies,$28.19,
22272,"Unisex Heavy Blend Hoodie | Gildan 18500 (5XL, Orange)",Apparel,Orange,5XL,https://files.cdn.printful.com/products/146/22265_1750160843.jpg,26.30,3.400,10.000,9.000,Hoodies,$30.19,
22281,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (S, Cornsilk)",Apparel,Cornsilk,S,https://files.cdn.printful.com/products/12/22281_1739882057.jpg,4.50,0.600,7.500,7.150,T-shirts,$9.44,
22282,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (M, Cornsilk)",Apparel,Cornsilk,M,https://files.cdn.printful.com/products/12/22281_1739882057.jpg,5.00,0.900,7.750,7.350,T-shirts,$9.44,
22283,"Unisex Basic Softstyle T-Shirt | Gildan 64000 (L, Cornsilk)",Apparel,Cornsilk,L,https://files.cdn.printful.com/products/12/22281_1739882057.jpg,5.90,0.900,8.050,7.950,T-shirts,$9.44,
